,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,MntGroceryProducts,TotalPurchase,YearRange,TotalChild,HaveChild
541,1963,PhD,Divorced,48799.0,0,1,9,174,18,81,28,6,24,3,3,2,7,3,127,15,1960,1,1
542,1950,PhD,Married,52157.0,0,1,48,189,2,29,3,2,40,2,3,2,5,4,34,12,1950,1,1
543,1962,Graduation,Single,66565.0,0,1,80,747,10,161,65,40,42,4,4,2,9,8,236,19,1960,1,1
544,1951,Master,Married,29298.0,1,1,60,6,0,2,2,0,1,1,1,0,2,5,4,4,1950,2,1
545,1979,Graduation,Single,47691.0,0,1,43,14,0,3,0,0,4,1,1,0,2,6,3,4,1970,1,1
546,1970,Graduation,Married,38200.0,1,1,19,12,0,4,0,0,1,1,1,0,2,7,4,4,1970,2,1
547,1974,Graduation,Married,44989.0,0,1,26,98,0,106,49,10,106,5,5,1,5,6,155,16,1970,1,1
548,1968,PhD,Married,38443.0,1,1,58,32,0,5,0,0,1,2,1,0,3,7,5,6,1960,2,1
549,1978,2n Cycle,Single,38593.0,1,0,42,51,12,49,17,24,24,3,4,1,3,8,78,11,1970,1,1
550,1970,PhD,Married,64413.0,0,1,27,200,5,44,0,10,20,1,5,1,5,5,49,12,1970,1,1
551,1981,Master,Married,36959.0,1,0,56,25,6,25,6,0,0,2,2,0,3,8,37,7,1980,1,1
552,1977,PhD,Married,61996.0,0,1,27,1050,12,144,0,0,24,3,6,4,8,5,156,21,1970,1,1
553,1968,Graduation,Married,51287.0,1,1,10,117,0,22,13,0,30,3,4,1,3,7,35,11,1960,2,1
554,1970,Graduation,Married,13260.0,1,1,48,9,4,17,10,2,7,4,3,0,3,8,31,10,1970,2,1
555,1966,PhD,Married,47472.0,1,1,39,56,0,11,0,0,8,2,2,0,4,5,11,8,1960,2,1
556,1956,Master,Married,54603.0,1,1,85,145,13,46,17,2,4,6,4,2,4,7,76,16,1950,2,1
557,1974,PhD,Married,45207.0,1,1,64,203,0,10,0,0,2,5,3,1,6,6,10,15,1970,2,1
558,1951,Graduation,Married,40689.0,0,1,69,270,3,27,39,6,99,7,7,1,5,8,69,20,1950,1,1
559,1967,2n Cycle,Married,47821.0,1,1,54,9,0,16,6,6,10,1,1,0,3,8,22,5,1960,2,1
560,1951,Master,Married,27450.0,0,0,57,37,12,23,8,11,52,1,2,1,3,7,43,7,1950,0,0
561,1983,Graduation,Married,39453.0,1,0,64,46,0,7,0,0,2,2,2,0,3,6,7,7,1980,1,1
562,1971,2n Cycle,Married,26850.0,1,1,10,31,1,13,7,2,9,4,2,1,4,4,21,11,1970,2,1
563,1955,Graduation,Divorced,79800.0,0,0,65,1060,21,530,32,0,224,1,5,11,5,3,583,22,1950,0,0
564,1961,Master,Married,61794.0,0,1,74,264,47,188,54,47,11,2,4,4,10,2,289,20,1960,1,1
565,1955,Graduation,Married,53863.0,0,1,4,399,4,30,6,4,30,3,7,1,7,7,40,18,1950,1,1
566,1959,Graduation,Married,24221.0,0,0,94,8,9,9,2,5,22,1,1,1,3,4,20,6,1950,0,0
567,1984,PhD,Single,39684.0,1,0,41,19,0,35,6,4,17,2,2,1,2,7,41,7,1980,1,1
568,1975,Master,Married,92163.0,0,0,25,817,183,797,106,163,20,0,5,11,5,2,1086,21,1970,0,0
569,1965,Master,Single,69882.0,0,0,94,292,127,635,132,127,165,1,3,7,9,1,894,20,1960,0,0
570,1977,Graduation,Married,33178.0,1,0,9,12,6,2,11,2,16,1,1,0,3,4,19,5,1970,1,1
571,1972,PhD,Married,59973.0,0,0,47,130,30,168,20,34,0,1,3,4,7,1,218,15,1970,0,0
572,1975,Master,Married,17459.0,1,0,12,6,4,16,3,10,30,3,3,1,2,7,23,9,1970,1,1
573,1969,Graduation,Divorced,23910.0,1,0,80,16,12,18,7,1,13,1,2,0,3,7,37,6,1960,1,1
574,1969,Master,Married,42169.0,1,1,20,19,0,9,0,0,2,2,1,0,3,8,9,6,1960,2,1
575,1978,2n Cycle,Married,26224.0,1,0,39,4,7,15,13,9,15,3,2,1,3,6,35,9,1970,1,1
576,1981,Graduation,Married,31089.0,1,0,57,31,3,31,2,8,4,3,3,0,4,8,36,10,1980,1,1
577,1961,Graduation,Single,30081.0,0,1,27,36,0,2,0,0,4,1,1,0,3,7,2,5,1960,1,1
578,1960,Graduation,Married,62807.0,0,1,83,526,28,135,10,21,99,3,5,3,12,5,173,23,1960,1,1
579,1955,Graduation,Single,72906.0,0,0,79,400,32,519,71,75,54,1,3,4,9,1,622,17,1950,0,0
580,1948,PhD,Married,61467.0,0,2,69,410,16,114,0,5,49,3,5,2,10,5,130,20,1940,2,1
581,1966,Master,Married,49618.0,1,1,77,80,3,26,4,2,14,4,3,1,3,7,33,11,1960,2,1
582,1973,Graduation,Divorced,42429.0,0,1,99,55,0,6,2,0,4,2,1,1,3,5,8,7,1970,1,1
583,1956,Graduation,Divorced,26150.0,2,1,61,5,1,13,3,5,1,1,1,0,3,7,17,5,1950,3,1
584,1975,Basic,Married,30801.0,0,1,23,8,4,5,15,2,11,2,1,0,3,7,24,6,1970,1,1
585,1965,Graduation,Married,81168.0,0,0,84,410,0,592,147,22,22,1,6,4,7,3,739,18,1960,0,0
586,1969,Master,Single,26877.0,0,0,74,101,13,76,20,18,40,2,3,1,6,6,109,12,1960,0,0
587,1944,Master,Divorced,45006.0,0,0,90,162,25,53,16,0,10,1,3,1,7,3,94,12,1940,0,0
588,1973,Basic,Married,18978.0,1,0,41,2,8,1,4,7,15,1,1,0,3,8,13,5,1970,1,1
589,1967,Graduation,Married,22574.0,2,1,28,25,0,8,2,0,2,2,2,0,3,7,10,7,1960,3,1
590,1969,PhD,Single,48240.0,0,0,73,389,91,248,64,49,41,3,6,3,13,5,403,25,1960,0,0
591,1974,Graduation,Married,45837.0,1,1,88,215,13,87,17,17,24,5,6,2,5,7,117,18,1970,2,1
592,1965,Master,Single,35791.0,2,1,94,27,0,5,0,0,3,2,1,0,3,8,5,6,1960,3,1
593,1978,Graduation,Divorced,54162.0,1,1,31,5,6,10,6,5,10,1,1,0,3,4,22,5,1970,2,1
594,1960,Master,Married,30522.0,0,1,6,179,8,83,19,11,26,5,1,2,9,2,110,17,1960,1,1
595,1961,PhD,Married,54456.0,0,1,23,352,0,27,10,0,15,3,6,1,7,6,37,17,1960,1,1
596,1971,Graduation,Single,31632.0,0,0,92,17,8,12,11,15,32,1,2,1,2,7,31,6,1970,0,0
597,1949,Graduation,Divorced,72298.0,0,0,52,625,35,169,58,17,35,1,4,3,6,1,262,14,1940,0,0
598,1978,2n Cycle,Single,36975.0,1,0,50,10,6,11,0,4,2,1,1,0,3,7,17,5,1970,1,1
599,1955,2n Cycle,Married,72635.0,0,0,54,390,22,323,104,35,107,1,6,8,6,3,449,21,1950,0,0
600,1976,Graduation,Married,13624.0,1,0,93,10,2,15,2,1,6,2,2,0,3,6,19,7,1970,1,1
601,1975,Graduation,Single,84196.0,0,1,56,215,63,507,231,31,190,1,8,4,7,3,801,20,1970,1,1
602,1960,Graduation,Married,70971.0,0,1,28,1001,17,572,93,125,17,7,11,11,5,7,682,34,1960,1,1
603,1977,PhD,Divorced,34487.0,1,1,94,19,18,33,24,1,8,3,3,0,3,9,75,9,1970,2,1
604,1977,Graduation,Single,28769.0,1,0,76,41,5,129,10,3,3,3,4,1,4,9,144,12,1970,1,1
605,1970,PhD,Married,69084.0,1,0,43,1181,107,199,39,30,30,2,7,3,13,8,345,25,1970,1,1
606,1958,PhD,Married,65488.0,0,0,46,603,45,207,36,18,54,1,3,4,6,1,288,14,1950,0,0
607,1970,2n Cycle,Married,62466.0,0,1,13,129,129,259,168,121,83,5,6,3,12,4,556,26,1970,1,1
608,1960,2n Cycle,Single,32218.0,0,0,27,10,24,15,13,1,30,1,2,1,3,7,52,7,1960,0,0
609,1973,Graduation,Single,83917.0,0,0,12,514,22,732,42,198,79,1,6,7,7,3,796,21,1970,0,0
610,1962,Graduation,Divorced,46102.0,2,1,3,14,0,1,0,0,1,1,1,0,2,7,1,4,1960,3,1
611,1952,Graduation,Single,84574.0,0,0,72,387,20,713,38,54,163,1,9,11,11,5,771,32,1950,0,0
612,1962,Graduation,Married,56181.0,0,1,6,121,103,69,8,44,48,1,4,2,7,4,180,14,1960,1,1
613,1950,Master,Divorced,63120.0,0,1,53,965,69,279,54,41,69,5,8,4,9,7,402,26,1950,1,1
614,1971,Graduation,Married,73691.0,0,1,58,707,21,250,85,43,73,2,6,2,8,2,356,18,1970,1,1
615,1960,Graduation,Married,63381.0,0,1,78,571,50,142,33,50,159,4,4,5,13,2,225,26,1960,1,1
616,1948,PhD,Married,76140.0,0,0,57,586,66,653,17,0,26,1,5,9,6,2,736,21,1940,0,0
617,1959,PhD,Divorced,62859.0,0,1,37,1063,89,102,16,12,25,4,9,4,6,6,207,23,1950,1,1
618,1964,Graduation,Single,45906.0,0,1,20,305,3,27,4,3,144,2,5,4,4,5,34,15,1960,1,1
619,1947,Master,Married,77632.0,0,0,73,1200,105,758,0,42,147,1,4,2,6,2,863,13,1940,0,0
620,1971,PhD,Married,46463.0,1,1,56,163,2,40,8,11,11,7,3,1,6,6,50,17,1970,2,1
621,1970,Master,Divorced,55282.0,1,0,9,125,6,73,8,4,19,1,3,1,6,4,87,11,1970,1,1
622,1977,Master,Married,78710.0,0,1,42,721,0,152,119,50,50,3,7,6,12,4,271,28,1970,1,1
623,1958,Graduation,Married,66886.0,0,1,28,315,4,62,41,31,146,2,7,1,7,5,107,17,1950,1,1
624,1985,Graduation,Married,29103.0,1,0,38,16,0,17,6,3,6,2,1,0,3,9,23,6,1980,1,1
625,1974,Graduation,Married,67445.0,0,1,63,757,80,217,29,80,11,5,9,6,12,6,326,32,1970,1,1
626,1950,PhD,Married,50616.0,0,1,71,30,2,25,0,1,9,1,1,1,4,2,27,7,1950,1,1
627,1955,Graduation,Divorced,49431.0,0,1,9,219,3,100,26,0,17,2,7,1,5,8,129,15,1950,1,1
628,1953,Graduation,Married,61278.0,0,1,87,111,3,28,2,6,15,2,3,1,4,6,33,10,1950,1,1
629,1958,2n Cycle,Married,26490.0,0,0,92,45,47,52,21,20,25,2,3,1,5,6,120,11,1950,0,0
630,1947,PhD,Married,73059.0,0,1,36,410,112,420,0,82,71,1,9,3,13,4,532,26,1940,1,1
631,1966,PhD,Single,46734.0,1,2,86,100,1,39,6,1,76,4,3,2,3,6,46,12,1960,3,1
632,1963,Graduation,Married,56253.0,0,1,83,509,0,65,7,11,5,4,7,2,9,6,72,22,1960,1,1
633,1985,Graduation,Married,19986.0,1,0,74,3,6,5,0,2,6,1,0,0,3,7,11,4,1980,1,1
634,1975,Graduation,Divorced,58330.0,0,1,87,445,53,213,104,98,151,1,6,4,13,4,370,24,1970,1,1
635,1980,Basic,Married,25965.0,0,0,29,2,2,11,41,7,11,1,2,0,3,8,54,6,1980,0,0
636,1956,Master,Married,14661.0,0,0,88,4,1,11,6,2,2,1,1,0,3,6,18,5,1950,0,0
637,1959,Graduation,Married,18690.0,0,0,77,6,1,7,23,4,19,1,1,1,2,8,31,5,1950,0,0
638,1974,PhD,Married,45068.0,0,1,25,14,0,3,0,0,3,1,1,0,2,7,3,4,1970,1,1
639,1987,Basic,Single,21063.0,1,0,34,1,10,11,19,3,15,2,2,0,3,6,40,7,1980,1,1
640,1968,PhD,Married,29187.0,1,0,43,26,0,6,0,0,2,1,1,0,3,8,6,5,1960,1,1
641,1971,2n Cycle,Married,54690.0,1,1,76,111,16,37,7,9,18,3,3,1,5,3,60,12,1970,2,1
642,1964,PhD,Married,59304.0,0,1,81,418,61,428,80,51,10,3,7,8,10,5,569,28,1960,1,1
643,1962,Master,Single,59247.0,0,2,87,327,9,122,19,14,83,5,5,2,9,6,150,21,1960,2,1
644,1970,Graduation,Divorced,66731.0,0,1,33,371,159,194,58,106,141,4,4,3,6,3,411,17,1970,1,1
645,1980,Graduation,Married,77353.0,0,1,38,275,59,107,69,101,59,2,6,4,8,4,235,20,1980,1,1
646,1975,PhD,Single,52614.0,0,1,63,789,0,142,12,9,38,2,2,4,8,8,154,16,1970,1,1
647,1974,Graduation,Married,26751.0,2,0,26,1,1,5,0,3,1,1,1,0,2,8,6,4,1970,2,1
648,1963,PhD,Married,81300.0,0,1,17,1004,12,145,32,12,36,3,10,3,5,5,189,21,1960,1,1
649,1979,Graduation,Single,70337.0,0,0,75,187,81,149,25,43,91,1,2,2,12,1,255,17,1970,0,0
650,1985,2n Cycle,Married,36145.0,1,0,13,56,4,76,17,1,18,4,4,1,3,9,97,12,1980,1,1
651,1980,PhD,Single,65295.0,0,0,19,365,32,117,34,110,6,1,3,3,13,2,183,20,1980,0,0
652,1963,Graduation,Divorced,68118.0,0,1,51,595,23,123,10,23,154,2,8,9,4,6,156,23,1960,1,1
653,1967,Graduation,Divorced,68743.0,0,0,81,1132,134,384,175,134,115,1,11,5,13,7,693,30,1960,0,0
654,1982,2n Cycle,Married,41039.0,0,0,32,34,11,137,179,61,45,1,8,1,5,8,327,15,1980,0,0
655,1955,Graduation,Married,38946.0,0,1,84,116,6,82,6,6,41,2,3,1,6,5,94,12,1950,1,1
656,1967,Graduation,Married,65777.0,0,0,87,565,32,435,28,32,54,1,2,8,6,1,495,17,1960,0,0
657,1976,PhD,Divorced,66476.0,0,1,99,372,18,126,47,48,78,2,5,2,11,4,191,20,1970,1,1
658,1972,PhD,Single,86857.0,0,0,96,899,102,838,133,102,40,1,5,6,10,2,1073,22,1970,0,0
659,1989,PhD,Married,77845.0,0,0,40,760,40,480,0,40,26,1,3,5,12,1,520,21,1980,0,0
660,1969,PhD,Married,69476.0,0,0,3,260,86,559,63,9,67,1,4,6,4,2,708,15,1960,0,0
661,1960,PhD,Divorced,50611.0,0,1,98,459,0,24,6,0,4,6,4,5,7,6,30,22,1960,1,1
662,1970,Graduation,Single,61209.0,0,0,73,466,0,224,119,49,99,1,5,3,4,2,343,13,1970,0,0
663,1958,Master,Married,42315.0,0,1,90,67,15,80,17,11,80,3,1,4,4,3,112,12,1950,1,1
664,1952,Basic,Married,13084.0,0,0,29,2,0,7,3,7,10,1,1,0,3,6,10,5,1950,0,0
665,1949,Master,Divorced,47570.0,1,1,3,67,1,20,0,2,31,3,2,2,2,7,21,9,1940,2,1
666,1961,Master,Married,61923.0,0,2,94,92,4,18,3,3,6,1,2,1,4,3,25,8,1960,2,1
667,1995,Graduation,Single,34824.0,0,0,65,4,2,11,2,0,4,1,1,0,2,6,15,4,1990,0,0
668,1949,PhD,Single,26518.0,1,1,33,20,1,28,3,3,2,3,2,0,3,8,32,8,1940,2,1
669,1961,Graduation,Single,45938.0,0,0,46,273,11,178,62,83,29,2,8,4,6,6,251,20,1960,0,0
670,1960,Graduation,Married,78468.0,0,0,29,434,22,388,104,22,34,1,10,7,10,4,514,28,1960,0,0
671,1973,Graduation,Divorced,78901.0,0,1,99,321,11,309,33,26,34,3,9,3,5,4,353,20,1970,1,1
672,1978,Graduation,Married,71427.0,2,0,26,212,123,177,15,64,23,2,8,2,8,4,315,20,1970,2,1
673,1978,Graduation,Divorced,71022.0,0,1,30,909,12,278,0,12,242,3,5,2,11,8,290,21,1970,1,1
674,1988,Master,Single,90247.0,0,0,27,1184,32,352,21,16,16,1,3,4,7,1,405,15,1980,0,0
675,1968,Master,Divorced,41335.0,1,0,24,112,19,21,16,14,5,3,4,1,4,7,56,12,1960,1,1
676,1986,Graduation,Married,71952.0,1,0,93,656,80,455,52,107,93,2,8,4,8,4,587,22,1980,1,1
677,1970,PhD,Divorced,35682.0,1,0,34,23,0,8,6,2,18,1,1,1,3,2,14,6,1970,1,1
678,1951,Graduation,Divorced,43185.0,0,1,88,537,6,42,16,6,30,2,9,3,6,8,64,20,1950,1,1
679,1948,PhD,Married,66375.0,0,1,96,712,0,45,0,0,191,3,2,4,5,7,45,14,1940,1,1
680,1971,Master,Married,35178.0,1,0,10,23,1,13,2,2,18,1,1,1,2,7,16,5,1970,1,1
681,1986,Graduation,Married,25252.0,1,0,26,1,3,4,2,2,6,1,1,0,2,8,9,4,1980,1,1
682,1965,Master,Single,55250.0,0,1,49,664,58,83,32,0,66,4,7,5,10,5,173,26,1960,1,1
683,1975,Graduation,Single,33249.0,1,0,11,6,10,21,19,14,42,2,2,1,3,6,50,8,1970,1,1
684,1953,Graduation,Married,58398.0,0,0,44,299,5,201,21,21,49,3,5,4,8,4,227,20,1950,0,0
685,1982,Graduation,Married,50272.0,1,0,75,99,13,66,43,8,4,3,4,1,5,7,122,13,1980,1,1
686,1975,PhD,Married,76618.0,0,0,64,749,40,294,121,160,147,1,3,2,5,1,455,11,1970,0,0
687,1960,2n Cycle,Divorced,87305.0,0,0,19,345,25,501,63,138,80,1,5,3,8,2,589,17,1960,0,0
688,1978,Graduation,Married,25851.0,1,0,45,9,4,18,7,5,5,2,2,0,3,7,29,7,1970,1,1
689,1970,Graduation,Divorced,58710.0,0,1,77,440,81,368,0,122,174,6,11,5,9,6,449,31,1970,1,1
690,1958,Graduation,Single,45160.0,1,1,9,8,2,5,3,0,3,1,1,0,2,7,10,4,1950,2,1
691,1965,Master,Married,74806.0,0,1,1,670,9,249,0,28,9,2,5,4,5,4,258,16,1960,1,1
692,1954,Graduation,Married,59111.0,0,0,90,524,0,134,28,28,155,1,11,1,8,7,162,21,1950,0,0
693,1984,PhD,Married,18988.0,1,0,43,6,0,6,2,1,1,2,1,0,3,7,8,6,1980,1,1
694,1965,Graduation,Married,72190.0,0,0,79,597,166,597,172,166,249,1,5,6,4,3,935,16,1960,0,0
695,1976,Graduation,Married,7500.0,1,0,19,7,0,12,13,7,32,5,4,1,2,9,25,12,1970,1,1
696,1966,Graduation,Married,44794.0,0,1,99,54,0,7,0,0,4,1,2,0,3,6,7,6,1960,1,1
697,1955,Graduation,Married,80395.0,0,0,62,445,25,706,80,76,48,1,6,5,12,2,811,24,1950,0,0
698,1976,Master,Divorced,75012.0,0,0,41,294,142,218,164,58,151,1,3,8,11,1,524,23,1970,0,0
699,1965,Master,Married,56962.0,2,1,60,292,3,77,10,3,26,7,6,3,5,7,90,21,1960,3,1
700,1991,Graduation,Married,89891.0,0,0,17,412,22,132,59,28,183,1,11,6,8,4,213,26,1990,0,0
701,1949,PhD,Divorced,35946.0,1,1,24,8,0,3,0,0,0,1,0,0,3,5,3,4,1940,2,1
702,1953,PhD,Married,53593.0,1,1,60,349,4,78,6,0,43,8,7,2,6,8,88,23,1950,2,1
703,1978,Graduation,Married,66373.0,1,1,57,328,9,124,12,24,109,7,4,2,10,3,145,23,1970,2,1
704,1948,PhD,Divorced,45072.0,1,2,74,144,2,99,7,2,30,5,6,1,4,8,108,16,1940,3,1
705,1973,Graduation,Divorced,89694.0,1,1,22,1126,28,211,37,28,42,3,4,3,4,5,276,14,1970,2,1
706,1949,Graduation,Married,72025.0,0,0,46,967,0,617,43,50,0,1,4,8,13,2,660,26,1940,0,0
707,1973,Graduation,Married,67432.0,0,1,69,432,79,341,177,136,170,2,8,5,4,4,597,19,1970,1,1
708,1952,Master,Married,70545.0,0,1,29,138,39,63,55,18,21,1,4,1,7,2,157,13,1950,1,1
709,1989,Basic,Married,17487.0,1,0,37,0,0,1,7,4,6,1,1,0,2,7,8,4,1980,1,1
710,1969,Graduation,Married,62882.0,0,1,26,509,133,497,78,24,97,2,7,5,6,4,708,20,1960,1,1
711,1953,PhD,Single,64108.0,0,1,8,948,10,86,13,21,21,4,6,9,11,5,109,30,1950,1,1
712,1956,Master,Married,34941.0,1,1,26,39,2,25,4,3,24,2,3,0,3,8,31,8,1950,2,1
713,1950,PhD,Single,48767.0,1,2,79,28,1,21,3,0,10,3,2,1,3,5,25,9,1950,3,1
714,1978,2n Cycle,Married,38702.0,1,0,71,13,11,24,13,8,40,2,3,0,4,6,48,9,1970,1,1
715,1964,Graduation,Married,82224.0,0,0,83,307,26,360,138,31,40,1,6,9,5,3,524,21,1960,0,0
716,1952,Graduation,Married,83844.0,0,0,57,901,31,345,75,31,191,1,4,4,11,1,451,20,1950,0,0
717,1975,2n Cycle,Married,17003.0,1,0,37,2,5,12,4,8,7,3,2,0,4,5,21,9,1970,1,1
718,1995,Graduation,Single,71163.0,0,0,30,283,17,372,138,106,44,1,3,8,12,1,527,24,1990,0,0
719,1970,Graduation,Single,33697.0,1,0,34,4,3,7,0,3,11,1,1,0,2,7,10,4,1970,1,1
720,1954,2n Cycle,Married,63564.0,0,0,0,769,80,252,15,34,65,1,10,10,7,6,347,28,1950,0,0
721,1972,PhD,Married,83443.0,0,0,89,518,42,742,55,56,84,1,6,10,5,2,839,22,1970,0,0
722,1958,PhD,Married,51518.0,0,1,92,350,8,66,17,4,4,2,3,2,10,3,91,17,1950,1,1
723,1975,Graduation,Divorced,58330.0,0,1,87,445,53,213,104,98,151,1,6,4,13,4,370,24,1970,1,1
724,1969,Graduation,Married,80952.0,0,0,20,778,178,689,41,27,44,1,8,5,11,8,908,25,1960,0,0
725,1979,Graduation,Married,75507.0,0,0,56,709,93,374,104,80,80,1,8,6,6,3,571,21,1970,0,0
726,1978,2n Cycle,Married,63855.0,0,0,28,359,35,314,93,116,89,1,7,3,13,4,442,24,1970,0,0
727,1972,PhD,Married,62220.0,0,1,55,799,12,375,16,12,12,5,7,6,5,6,403,23,1970,1,1
728,1964,Graduation,Married,58512.0,0,1,25,895,10,101,13,0,152,5,3,4,8,8,124,20,1960,1,1
729,1979,Master,Married,40662.0,1,0,0,40,2,23,0,4,23,2,2,1,3,4,25,8,1970,1,1
730,1959,PhD,Married,38829.0,0,1,86,76,0,7,0,0,16,1,3,2,2,5,7,8,1950,1,1
731,1981,2n Cycle,Married,35523.0,1,0,8,11,5,22,12,5,11,2,3,0,3,7,39,8,1980,1,1
732,1967,Graduation,Single,79146.0,1,1,33,245,16,223,21,43,16,2,8,1,8,6,260,19,1960,2,1
733,1988,Master,Married,78285.0,0,0,13,647,107,391,175,67,40,1,6,4,10,3,673,21,1980,0,0
734,1978,PhD,Single,31626.0,1,0,12,39,1,9,2,1,34,1,2,1,2,7,12,6,1970,1,1
735,1952,Graduation,Single,75127.0,0,0,92,203,35,305,46,17,227,1,2,11,5,1,386,19,1950,0,0
736,1955,Graduation,Married,48726.0,0,1,90,138,3,38,4,0,59,3,3,2,4,6,45,12,1950,1,1
737,1977,Graduation,Married,74985.0,0,0,8,587,51,898,247,0,86,1,3,6,7,2,1196,17,1970,0,0
738,1987,Graduation,Married,67430.0,0,0,6,595,97,291,127,133,121,1,11,5,12,6,515,29,1980,0,0
739,1965,2n Cycle,Married,46891.0,0,1,91,43,12,23,29,15,61,1,2,1,4,4,64,8,1960,1,1
740,1956,Master,Married,62058.0,0,1,52,301,7,74,10,0,58,4,6,1,7,6,91,18,1950,1,1
741,1979,Graduation,Married,72063.0,0,1,3,180,32,348,76,32,90,2,5,2,12,2,456,21,1970,1,1
742,1951,PhD,Married,78939.0,0,0,57,794,115,243,150,0,205,1,8,5,6,3,508,20,1950,0,0
743,1965,Graduation,Single,42720.0,1,1,9,392,5,91,28,26,112,8,7,3,7,8,124,25,1960,2,1
744,1972,Graduation,Married,33622.0,1,1,22,39,1,22,3,4,12,3,2,0,4,7,26,9,1970,2,1
745,1953,Graduation,Married,41452.0,1,1,86,13,0,3,0,0,0,1,1,0,2,7,3,4,1950,2,1
746,1965,PhD,Single,40760.0,0,1,64,70,0,17,0,0,6,2,2,1,3,6,17,8,1960,1,1
747,1958,PhD,Married,74250.0,0,0,90,680,11,392,75,0,0,1,2,11,4,1,478,18,1950,0,0
748,1955,Master,Single,51124.0,1,1,79,26,1,11,0,1,4,2,1,0,3,3,12,6,1950,2,1
749,1971,Graduation,Single,72258.0,0,1,28,522,0,522,227,120,134,2,6,9,5,2,749,22,1970,1,1
750,1974,PhD,Single,71466.0,0,0,86,412,12,546,78,182,0,1,4,4,10,1,636,19,1970,0,0
751,1976,Graduation,Married,36283.0,1,1,42,6,5,5,8,0,5,2,1,0,3,4,18,6,1970,2,1
752,1970,Graduation,Single,20587.0,1,0,39,2,3,6,4,1,9,1,1,1,2,7,13,5,1970,1,1
753,1972,Graduation,Married,30467.0,1,0,8,1,3,8,2,5,5,1,1,0,2,7,13,4,1970,1,1
754,1972,Graduation,Married,31590.0,1,0,40,6,2,15,6,6,3,1,1,0,3,8,23,5,1970,1,1
755,1986,Basic,Married,20425.0,1,0,5,4,12,5,3,16,17,2,2,0,3,7,20,7,1980,1,1
756,1960,Master,Married,17144.0,1,1,96,18,2,19,0,2,6,5,3,0,4,7,21,12,1960,2,1
757,1968,PhD,Divorced,42564.0,0,1,28,324,48,186,39,18,198,6,6,8,4,7,273,24,1960,1,1
758,1978,Master,Married,43783.0,1,0,22,327,9,125,25,4,139,6,7,1,8,7,159,22,1970,1,1
759,1976,Graduation,Divorced,40780.0,0,1,30,229,27,71,13,3,34,4,7,1,5,9,111,17,1970,1,1
760,1945,Master,Married,62847.0,0,0,45,521,168,706,80,76,61,1,3,6,4,2,954,14,1940,0,0
761,1957,PhD,Married,82017.0,0,0,58,184,23,446,30,23,23,1,5,4,7,2,499,17,1950,0,0
762,1950,Graduation,Single,16813.0,0,0,49,4,8,11,12,2,13,1,2,0,3,7,31,6,1950,0,0
763,1978,Graduation,Married,51267.0,1,1,37,183,2,64,7,2,12,4,3,3,5,4,73,15,1970,2,1
764,1961,Graduation,Single,46524.0,0,1,70,31,19,35,26,14,52,2,1,1,5,3,80,9,1960,1,1
765,1962,Master,Single,45183.0,0,0,33,219,3,60,12,9,12,1,4,1,7,7,75,13,1960,0,0
766,1954,PhD,Married,70421.0,0,1,98,479,28,136,75,14,35,3,10,3,7,6,239,23,1950,1,1
767,1965,2n Cycle,Divorced,60161.0,0,1,17,584,44,212,46,8,177,3,11,4,8,8,302,26,1960,1,1
768,1973,Graduation,Married,73926.0,0,0,54,627,91,597,159,91,15,1,6,5,12,3,847,24,1970,0,0
769,1968,Graduation,Married,19329.0,1,0,39,24,1,16,12,2,5,3,4,0,3,8,29,10,1960,1,1
770,1970,Master,Married,61872.0,0,1,81,330,5,159,36,27,16,4,4,4,9,4,200,21,1970,1,1
771,1956,Graduation,Divorced,46984.0,1,1,71,19,1,10,2,1,8,1,1,0,3,5,13,5,1950,2,1
772,1951,Graduation,Married,34838.0,1,1,62,28,23,29,29,14,47,3,2,1,4,6,81,10,1950,2,1
773,1944,PhD,Single,82716.0,0,0,8,606,148,228,15,148,22,1,6,8,13,2,391,28,1940,0,0
774,1958,Graduation,Married,48192.0,0,0,76,1039,43,204,153,58,29,3,2,8,12,8,400,25,1950,0,0
775,1976,Master,Married,49681.0,0,2,66,411,0,26,0,0,21,6,7,1,7,7,26,21,1970,2,1
776,1971,Master,Married,56850.0,0,1,83,34,1,19,2,7,0,1,1,1,3,2,22,6,1970,1,1
777,1957,Graduation,Married,55267.0,0,1,28,161,28,136,32,3,45,4,3,4,6,3,196,17,1950,1,1
778,1972,Graduation,Married,59666.0,1,1,87,623,53,178,23,17,133,7,3,2,8,8,254,20,1970,2,1
779,1972,Graduation,Single,72504.0,0,1,43,604,26,470,123,161,94,2,5,9,6,2,619,22,1970,1,1
780,1981,Graduation,Married,26872.0,0,0,0,3,10,8,3,16,32,1,1,1,2,6,21,5,1980,0,0
781,1972,Graduation,Single,21359.0,1,0,1,12,2,17,6,1,10,2,2,0,3,8,25,7,1970,1,1
782,1975,Graduation,Single,73170.0,0,0,1,184,174,256,50,30,32,1,5,4,6,2,480,16,1970,0,0
783,1955,Master,Married,52750.0,0,1,72,393,0,239,90,69,69,6,5,7,9,4,329,27,1950,1,1
