,MntGoldProds,MntGroceryProducts,MntWines,TotalPurchase
1349,29,31,8,6
1350,0,6,14,7
1351,15,152,622,23
1352,1,3,11,4
1353,2,27,25,8
1354,131,135,635,22
1355,109,208,100,14
1356,35,48,201,15
1357,57,63,642,21
1358,41,48,97,10
1359,89,61,204,14
1360,14,186,513,26
1361,29,28,88,11
1362,15,132,172,16
1363,43,387,329,22
1364,17,128,296,18
1365,31,20,100,11
1366,15,314,422,22
1367,80,392,1218,16
1368,4,10,5,4
1369,26,855,507,21
1370,55,66,52,11
1371,100,246,191,19
1372,46,42,2,6
1373,41,83,68,10
1374,17,20,20,7
1375,1,19,20,9
1376,0,1,7,4
1377,246,284,279,23
1378,101,281,977,23
1379,3,9,30,5
1380,19,31,6,5
1381,12,55,3,9
1382,7,2,14,4
1383,1,8,10,4
1384,13,35,7,7
1385,74,326,33,14
1386,10,15,12,5
1387,10,24,2,5
1388,42,249,693,23
1389,2,20,9,7
1390,2,96,129,17
1391,16,16,16,6
1392,35,48,201,15
1393,10,13,5,4
1394,35,50,14,7
1395,36,90,29,9
1396,8,31,26,9
1397,3,8,9,4
1398,19,27,14,9
1399,138,794,972,23
1400,126,1086,966,23
1401,6,157,99,13
1402,17,660,482,18
1403,47,118,714,26
1404,130,473,587,17
1405,39,244,399,17
1406,25,121,56,12
1407,31,822,227,17
1408,43,703,703,23
1409,3,17,37,6
1410,70,279,167,17
1411,40,543,458,16
1412,31,57,91,11
1413,22,35,15,10
1414,45,888,1302,25
1415,14,303,153,18
1416,10,33,508,21
1417,29,313,290,25
1418,6,2,38,5
1419,11,26,2,9
1420,5,12,30,5
1421,196,172,386,22
1422,48,85,443,21
1423,191,451,901,20
1424,1,3,9,4
1425,42,527,846,25
1426,22,31,8,8
1427,24,78,72,12
1428,5,5,29,5
1429,153,490,460,21
1430,12,46,69,9
1431,43,941,556,23
1432,0,13,73,7
1433,36,62,112,10
1434,30,60,944,27
1435,170,736,265,31
1436,99,173,526,23
1437,7,18,2,5
1438,16,23,2,6
1439,34,553,378,18
1440,8,232,553,25
1441,31,834,751,15
1442,8,30,406,22
1443,107,319,1449,29
1444,30,227,123,18
1445,21,406,267,30
1446,15,43,209,15
1447,33,1084,1259,29
1448,17,228,344,25
1449,15,33,22,8
1450,47,666,247,26
1451,1,15,38,6
1452,34,124,896,21
1453,14,400,931,25
1454,89,430,758,30
1455,125,86,216,19
1456,10,24,2,5
1457,50,127,244,20
1458,97,105,539,32
1459,39,163,1181,22
1460,26,144,750,14
1461,92,135,306,26
1462,57,490,350,30
1463,35,425,331,24
1464,82,181,620,27
1465,45,582,434,18
1466,36,27,57,11
1467,107,603,811,26
1468,197,821,423,22
1469,30,28,2,7
1470,51,144,60,12
1471,77,95,675,26
1472,12,28,30,7
1473,18,45,40,7
1474,39,63,3,7
1475,55,884,910,19
1476,196,1144,252,22
1477,8,38,34,7
1478,3,25,19,7
1479,21,194,490,32
1480,57,720,332,17
1481,21,38,53,9
1482,48,650,784,15
1483,20,24,7,7
1484,47,281,1171,26
1485,13,43,215,17
1486,8,196,674,27
1487,36,27,57,11
1488,45,43,5,8
1489,5,145,104,17
1490,4,9,9,5
1491,102,603,431,16
1492,10,76,1000,19
1493,91,589,448,28
1494,5,32,33,9
1495,54,378,505,27
1496,63,888,267,20
1497,1,3,14,4
1498,30,125,631,24
1499,11,20,65,7
1500,20,49,10,6
1501,49,66,51,8
1502,65,260,293,20
1503,6,5,11,4
1504,1,34,50,7
1505,81,316,173,16
1506,21,565,423,17
1507,200,508,292,14
1508,11,326,757,32
1509,5,7,12,6
1510,19,52,167,17
1511,5,12,3,4
1512,28,35,30,11
1513,133,325,532,26
1514,36,90,29,9
1515,21,26,411,21
1516,0,11,5,4
1517,38,562,71,21
1518,3,43,46,8
1519,22,114,268,16
1520,12,317,928,23
1521,31,328,459,23
1522,36,108,483,23
1523,66,201,733,25
1524,45,196,1006,26
1525,5,15,34,8
1526,96,1129,1156,18
1527,11,34,7,5
1528,50,127,244,20
1529,12,23,233,15
1530,24,80,35,8
1531,0,511,1252,18
1532,20,73,34,8
1533,24,214,255,17
1534,1,6,8,4
1535,10,684,368,17
1536,15,672,255,15
1537,3,20,33,8
1538,76,474,163,27
1539,20,12,15,6
1540,13,89,45,12
1541,43,142,48,12
1542,2,59,158,17
1543,48,848,754,25
1544,4,42,108,10
1545,41,478,199,13
1546,27,14,2,5
1547,14,90,202,15
1548,7,3,85,7
1549,42,57,322,19
1550,6,21,18,12
1551,47,140,141,15
1552,35,556,739,21
1553,5,9,18,6
1554,73,107,378,20
1555,108,1010,1083,24
1556,63,243,1016,20
1557,2,7,23,6
1558,3,24,12,7
1559,0,4,35,5
1560,28,453,548,25
1561,40,296,342,24
1562,11,22,365,19
1563,9,100,397,17
1564,38,926,456,21
1565,13,32,5,6
1566,77,784,836,19
1567,10,153,100,15
1568,7,13,10,6
1569,76,499,238,24
1570,2,7,6,4
1571,17,125,158,14
1572,6,120,86,11
1573,199,88,856,31
1574,5,18,98,8
1575,20,36,4,9
1576,32,763,398,19
1577,126,118,313,24
1578,18,58,109,13
1579,9,8,216,12
1580,41,344,595,21
1581,88,346,123,17
1582,10,26,16,10
1583,12,50,11,7
1584,71,532,410,26
1585,24,59,159,13
1586,0,10,105,9
1587,1,9,5,4
1588,38,99,269,16
1589,35,70,629,26
1590,82,97,443,19
1591,93,561,217,22
1592,4,13,24,7
1593,7,10,9,5
1594,7,16,8,5
1595,215,61,1459,18
1596,75,275,230,25
1597,9,19,1,5
1598,56,413,340,21
1599,3,7,7,4
1600,19,79,298,16
1601,85,242,479,21
1602,127,773,267,20
1603,16,53,67,10
1604,18,32,3,9
1605,31,337,980,22
1606,26,38,50,9
1607,8,5,19,6
1608,4,32,30,6
1609,30,89,213,15
1610,38,202,539,22
1611,134,260,284,23
1612,34,704,1003,17
1613,52,201,239,24
1614,42,138,51,13
1615,65,286,527,24
1616,19,27,19,9
1617,6,25,40,6
1618,9,43,21,6
1619,7,150,593,22
1620,7,18,21,9
1621,30,345,1181,25
1622,27,439,1004,34
1623,10,51,202,13
1624,53,908,446,18
1625,40,827,1184,22
1626,107,449,390,21
1627,161,539,726,34
1628,9,54,8,7
1629,15,164,50,14
1630,10,16,1,5
1631,23,73,308,16
1632,5,40,22,6
1633,88,692,690,23
1634,33,40,43,11
1635,4,10,27,10
1636,1,3,6,4
1637,46,51,205,13
1638,4,8,24,5
1639,83,921,667,16
1640,46,78,691,25
1641,80,348,493,27
1642,84,540,493,22
1643,100,94,494,21
1644,85,565,621,19
1645,7,5,9,4
1646,12,16,1,4
1647,14,35,12,6
1648,26,433,243,21
1649,7,7,11,4
1650,20,174,532,11
1651,1,2,29,5
1652,107,869,612,25
1653,180,468,387,28
1654,2,14,56,9
1655,4,43,6,10
1656,13,65,582,25
1657,42,39,6,11
1658,3,77,70,11
1659,12,222,962,32
1660,20,147,112,13
1661,52,303,293,20
1662,7,46,199,12
1663,101,976,1060,22
1664,58,440,940,23
1665,7,15,44,6
1666,26,1194,342,26
1667,20,33,2,8
1668,187,196,75,18
1669,40,426,520,17
1670,6,18,5,7
1671,29,83,87,14
1672,107,255,462,25
1673,2,6,2,4
1674,22,1008,979,25
1675,111,1102,704,19
1676,79,651,861,24
1677,18,134,172,17
1678,7,53,5,9
1679,0,58,194,16
1680,20,23,9,5
1681,54,378,505,27
1682,195,425,533,28
1683,6,14,48,7
1684,19,31,6,5
1685,25,12,18,5
1686,107,760,482,21
1687,26,215,204,18
1688,14,403,1073,26
1689,16,260,245,19
1690,29,492,560,23
1691,6,176,173,17
1692,3,12,22,5
1693,32,13,136,10
1694,66,96,275,19
1695,25,50,56,8
1696,191,856,303,25
1697,15,69,708,23
1698,88,852,324,23
1699,8,15,1,4
1700,141,255,620,24
1701,149,329,312,23
1702,43,652,1493,15
1703,21,152,918,19
1704,106,155,98,16
1705,11,26,3,5
1706,34,53,380,19
1707,7,19,15,8
1708,7,20,3,10
1709,24,25,24,9
1710,16,65,80,10
1711,5,8,31,7
1712,60,340,138,21
1713,59,290,166,20
1714,17,19,12,7
1715,58,159,178,16
1716,50,256,707,26
1717,11,25,5,8
1718,62,414,465,26
1719,1,3,16,5
1720,32,662,358,17
1721,10,18,1,6
1722,72,29,123,10
1723,11,43,40,9
1724,24,74,102,10
1725,26,595,347,21
1726,0,3,21,5
1727,0,58,194,16
1728,17,79,64,12
1729,12,49,206,13
1730,13,18,71,7
1731,29,272,71,19
